,Title,Type,Company,CTC,Location,Exp
205,SECURITY,No data,Orcapod Consulting Services Private Limited,"₹ 5,00,000 - 30,00,000",No data,7-10 years
206,Golang Developer With React,No data,IKrux Engineering,Competitive salary,Delhi,4-6 years
207,HP Developer- OS Commerce,No data,Cmts,"₹ 4,80,000 - 7,20,000",Navi Mumbai,4-6 years
208,Data Scientist,No data,Rohini IT Consulting LLP,Competitive salary,Bangalore,7-10 years
209,Android Developer,No data,Orufy,Competitive salary,Jaipur,1-3 years
210,Java Full Stack Developer,No data,Orcapod Consulting Services Private Limited,"₹ 5,00,000 - 26,00,000",Gurgaon,7-10 years
211,Guidewire Developer,No data,Orcapod Consulting Services Private Limited,"₹ 5,00,000 - 32,00,000",Gurgaon,7-10 years
212,Display & Graphics,No data,Orcapod Consulting Services Private Limited,"₹ 15,00,000 - 30,00,000",No data,7-10 years
213,Core PHP- Magento,No data,Cmts,"₹ 3,60,000 - 4,80,000",Delhi,1-3 years
214,React Native Intern,Fresher  Job,Zopsoft Technology Private Limited,Competitive salary,Work from home,0-1 years
216,Lead Analyst,No data,Reliance Industries Limited,Competitive salary,Jamnagar,4-6 years
217,NodeJS Developer,No data,Chiselon Technologies Pvt Ltd,Competitive salary,Work from home,4-6 years
218,PySpark Developer,No data,Chiselon Technologies Pvt Ltd,Competitive salary,Work from home,4-6 years
219,System Administrator,No data,Kukulkan Manpower Consultancy,Competitive salary,Chennai,7-10 years
220,Full Stack Developer Intern,Fresher  Job,Orufy,Competitive salary,Jaipur,0-1 years
222,Senior Java Software Engineer,No data,Chiselon Technologies Pvt Ltd,Competitive salary,Anantapur,7-10 years
223,Data Scientist,No data,Rohini IT Consulting LLP,"₹ 35,00,000 - 45,00,000",Bangalore,7-10 years
224,Associate Analyst,Fresher  Job,HEALTH PRIME SERVICES (INDIA) PRIVATE LIMITED,"₹ 2,04,000 - 3,00,000",Vadodara,0-1 years
225,Fundamental Research - Equity Markets,No data,MONEYLICIOUS INVESTMENTS AND CONSULTING SERVICES PRIVATE LIMITED,"₹ 2,00,000 - 4,00,000",Ghaziabad,1-3 years
226,Email Marketing Executive (Lead Generation),No data,Codeflies Technologies Private Limited,Competitive salary,Noida,1-3 years
227,Data Engineer,No data,Rohini IT Consulting LLP,Competitive salary,Pune,7-10 years
228,Finacle Treasury Support,No data,CapTalent HR,"₹ 3,00,000 - 8,00,000",Vashi,4-6 years
231,Jr. Quality Analyst,No data,Xomic Infotech Private Limited,"₹ 2,80,000 - 3,50,000",Ahmedabad,1-3 years
232,Software Developer(TrakSYS/SQL/MS SQL),No data,DCS Group,"₹ 15,00,000 - 16,00,000",Pune,4-6 years
233,Finacle Treasury Support,No data,CapTalent HR,"₹ 3,00,000 - 6,00,000",Vashi,4-6 years
234,Senior Computer Vision Engineer,No data,JTek Software Solutions Pvt Ltd,Competitive salary,Hyderabad,7-10 years
236,Web Developer UIUX,No data,JTek Software Solutions Pvt Ltd,Competitive salary,Hyderabad,7-10 years
237,Senior Backend Engineer,No data,JTek Software Solutions Pvt Ltd,Competitive salary,Bangalore,7-10 years
238,Cloud Backend Engineer,No data,JTek Software Solutions Pvt Ltd,Competitive salary,Bangalore,4-6 years
239,Finacle Treasury Application Support,No data,CapTalent HR,"₹ 3,00,000 - 6,00,000",Vashi,4-6 years
